file_name,id,chunk_text,chunk_id
problem_statements.xlsx,SIH1525,Title          Development of software application for analys... Description    1.,0
problem_statements.xlsx,SIH1525,"Description    1. Classification & identification of audio, v...
Name: 0, dtype: object",1
problem_statements.xlsx,SIH1524,"Title          Domain Name Server (DNS) Filtering Service usi... Description    DNS Filtering service helps block malicious do...
Name: 1, dtype: object",0
problem_statements.xlsx,SIH1523,"Title                    Quantum Secure Email Client Application
Description    Email communication is a fundamental part of m...
Name: 2, dtype: object",0
problem_statements.xlsx,SIH1522,"Title          Development of UT (user terminal) to UT Voice,... Description    Two-way voice, video and data Communication be...
Name: 3, dtype: object",0
problem_statements.xlsx,SIH1521,"Title          Development of Explainable AI (XAI) based mode... Description    Nowcasting of heavy precipitation rainfall eve...
Name: 4, dtype: object",0
problem_statements.xlsx,SIH1520,"Title          Development of NTRIP (Network Transport of RTC... Description    Server development for RTK correction receptio...
Name: 5, dtype: object",0
problem_statements.xlsx,SIH1519,"Title          Generation of Hazard map at 1m grid spacing (1... Description    We have TMC images of nearly 80% area of the m...
Name: 6, dtype: object",0
problem_statements.xlsx,SIH1518,"Title                  Change detection due to human activities. Description    Using satellite imagery, create an automated s...
Name: 7, dtype: object",0
problem_statements.xlsx,SIH1517,"Title          Identification of place names from a natural l... Description    Building a geospatial querying system based on...
Name: 8, dtype: object",0
problem_statements.xlsx,SIH1516,"Title          Suggest an Al-based solution to enable ease of... Description    A robust grievance redressal mechanism is a cr...
Name: 9, dtype: object",0
problem_statements.xlsx,SIH1515,"Title          Smart and Effective realtime Management of str... Description    ln lndia, the number of vehicles is constanfly...
Name: 10, dtype: object",0
problem_statements.xlsx,SIH1514,"Title          Comprehensive lnspection and Analysis of Water... Description    Water resources across the globe are slowly on...
Name: 11, dtype: object",0
problem_statements.xlsx,SIH1513,"Title          Effective management of construction and demol... Description    The problem at hand revolves around the manage...
Name: 12, dtype: object",0
problem_statements.xlsx,SIH1512,"Title          Centralized Monitoring System for Street Light... Description    Electricity is the critical need for progress ...
Name: 13, dtype: object",0
problem_statements.xlsx,SIH1511,"Title            Real time Knowledge of ore body being mined out
Description    The ore-body model, containing block-wise or l...
Name: 14, dtype: object",0
problem_statements.xlsx,SIH1510,"Title                   Land profiling of Asset Creation process
Description    There are various types of permissible works b...
Name: 15, dtype: object",0
problem_statements.xlsx,SIH1508,"Title          Creation of dedicated real time 'Procurement D... Description    This challenge involves developing a comprehen...
Name: 16, dtype: object",0
problem_statements.xlsx,SIH1507,"Title          Frequent dislodgement of belt conveyor along h... Description    The 14.6 km long cable belt conveyor passing o...
Name: 17, dtype: object",0
problem_statements.xlsx,SIH1506,"Title          Leveraging the power of deep learning to overc... Description    Developing an artificial neural network for th...
Name: 18, dtype: object",0
problem_statements.xlsx,SIH1505,Title          Aerial Location of Hazardous Atmosphere in Ind... Description    Fire Prevention is better than Firefighting.,0
problem_statements.xlsx,SIH1505,"Description    Fire Prevention is better than Firefighting. W...
Name: 19, dtype: object",1
problem_statements.xlsx,SIH1504,"Title          Capacity building, performance assessment and ... Description    If teachers were given more freedom, as would ...
Name: 20, dtype: object",0
problem_statements.xlsx,SIH1503,"Title                                   Automatic Drug Dispenser
Description    The never-ending queue in hospitals is a nuisa...
Name: 21, dtype: object",0
problem_statements.xlsx,SIH1502,"Title          Blended Learning to overcome inadequate infras... Description    Once the class size passes a certain point, th...
Name: 22, dtype: object",0
problem_statements.xlsx,SIH1501,"Title          Development of Virtual Reality (VR) technology... Description    There are primerly three tissue nourishment th...
Name: 23, dtype: object",0
problem_statements.xlsx,SIH1500,"Title          Education ecosystem for specially abled studen... Description    Children with disabilities in minor or major f...
Name: 24, dtype: object",0
problem_statements.xlsx,SIH1499,"Title          Green options for milk packaging (Low cost, en... Description    Currently, most of the liquid milk packaging (...
Name: 25, dtype: object",0
